# FIRESONG Output description
# Standard candle sources
# Desired neutrino diffuse flux:
#      E^2 dN_diffuse/dE = 9e-09 (E/100 TeV)^(-0.13) [GeV/cm^2.s.sr]
# Neutrino point source fluxes listed below are of 'A' where the flux is:
#      E^2 dN_PS/dE = A * (E/100 TeV)^(-0.13) [GeV/cm^2.s]
# Standard Candle Luminosity: 0.0000e+00 erg/yr 
# Note that using 4 years, IceCube sensitivity in the northern hemisphere
# is approximately 10^-9 in the units used for A
# Dec(deg) Redshift A
-24.4755 1.1345 1.4119e-11
42.3764 4.9955 3.4156e-13
-39.1585 3.1925 1.0339e-12
53.1520 0.9835 2.0278e-11
68.8069 4.0905 5.5872e-13
23.1005 3.2615 9.8021e-13
-67.8566 4.6165 4.1461e-13
-56.3045 2.4165 2.0775e-12
-51.2133 3.8265 6.5902e-13
66.9516 2.3715 2.1782e-12
12.7836 1.9465 3.5864e-12
61.5935 3.9685 6.0216e-13
14.7296 2.8275 1.4004e-12
26.1387 3.4285 8.6561e-13
-41.1216 4.4415 4.5600e-13
-52.5896 4.0355 5.7773e-13
1.8992 3.3345 9.2762e-13
-24.9480 1.3185 9.6388e-12
-16.6357 3.0685 1.1413e-12
6.2905 4.0965 5.5670e-13
-29.0865 1.2285 1.1535e-11
33.0530 5.6935 2.4803e-13
34.6711 2.8835 1.3333e-12
-51.0378 2.9675 1.2409e-12
13.3568 0.7555 3.9399e-11
-40.7288 3.9395 6.1319e-13
-42.2703 3.5265 8.0702e-13
51.8486 3.4865 8.3024e-13
-0.0788 3.0415 1.1668e-12
18.1628 2.3375 2.2589e-12
6.5305 3.5345 8.0249e-13
8.4442 1.6685 5.3003e-12
-38.9841 0.9865 2.0122e-11
-4.1026 3.2985 9.5305e-13
0.9368 2.8095 1.4230e-12
43.1819 3.7175 7.0796e-13
32.3165 2.9925 1.2152e-12
17.9887 0.6095 6.7246e-11
-49.8312 4.7025 3.9621e-13
-9.6760 0.9575 2.1699e-11
-31.5602 3.1955 1.0315e-12
-9.8227 4.3235 4.8730e-13
53.9609 1.0695 1.6399e-11
40.5003 3.7645 6.8625e-13
1.0362 0.5915 7.2415e-11
49.4236 2.7905 1.4474e-12
-26.6435 1.0805 1.5979e-11
-27.6287 2.7505 1.5008e-12
12.8516 5.4105 2.8093e-13
-71.4113 2.9465 1.2631e-12
-10.9780 1.8305 4.1903e-12
-29.1135 3.2355 9.9997e-13
17.2720 3.7675 6.8489e-13
11.4741 4.8835 3.6111e-13
-9.3181 2.4625 1.9812e-12
-23.7348 0.9855 2.0174e-11
-13.7201 4.4115 4.6368e-13
19.7635 1.2255 1.1607e-11
-19.6188 0.8125 3.2828e-11
-39.0674 2.0035 3.3338e-12
44.2107 2.6005 1.7275e-12
21.4669 1.2425 1.1208e-11
36.4461 0.9735 2.0809e-11
60.1642 1.1735 1.2958e-11
32.4715 6.3325 1.9142e-13
7.9316 1.7035 5.0283e-12
35.3925 1.5495 6.3956e-12
29.3094 4.7305 3.9047e-13
73.0855 2.7645 1.4818e-12
55.6823 1.2585 1.0850e-11
-9.1658 2.8765 1.3415e-12
28.0432 1.8955 3.8358e-12
-15.0127 2.0245 3.2471e-12
22.3840 0.7615 3.8626e-11
40.5433 4.5635 4.2656e-13
9.1673 2.9625 1.2462e-12
25.0218 4.7325 3.9007e-13
4.4207 5.3735 2.8568e-13
-5.0753 2.1795 2.6949e-12
